2019-01-01,2815
2019-02-01,2672
2019-03-01,2755
2019-04-01,2721
2019-05-01,2946
2019-06-01,3036
2019-07-01,2282
2019-08-01,2212
2019-09-01,2922
2019-10-01,4301
2019-11-01,5764
2019-12-01,7312
2020-01-01,2541
2020-02-01,2475
2020-03-01,3031
2020-04-01,3266
2020-05-01,3776
2020-06-01,3230
2020-07-01,3028
2020-08-01,1759
2020-09-01,3595
2020-10-01,4474
2020-11-01,6838
2020-12-01,8357
2021-01-01,3113
2021-02-01,3006
2021-03-01,4047
2021-04-01,3523
2021-05-01,3937
2021-06-01,3986
2021-07-01,3260
2021-08-01,1573
2021-09-01,3528
2021-10-01,5211
2021-11-01,7614
2021-12-01,9254
2022-01-01,5375
2022-02-01,3088
2022-03-01,3718
2022-04-01,4514
2022-05-01,4520
2022-06-01,4539
2022-07-01,3663
2022-08-01,1643
2022-09-01,4739
2022-10-01,5428
2022-11-01,8314
2022-12-01,10651
2023-01-01,3633
2023-02-01,4292
2023-03-01,4154
2023-04-01,4121
2023-05-01,4647
2023-06-01,4753
2023-07-01,3965
2023-08-01,1723
2023-09-01,5048
2023-10-01,6922
2023-11-01,9858
2023-12-01,11331
2024-01-01,4016
2024-02-01,3957
2024-03-01,4510
2024-04-01,4276
2024-05-01,4968
2024-06-01,4677
2024-07-01,3523
2024-08-01,1821
2024-09-01,5222
2024-10-01,6872
2024-11-01,10803
2024-12-01,13916
2025-01-01,2639
2025-02-01,2899
2025-03-01,3370
2025-04-01,3740
2025-05-01,2927
2025-06-01,3986
2025-07-01,4217
2025-08-01,1738
2025-09-01,5221
2025-10-01,6424
2025-11-01,9842
2025-12-01,13076
2026-01-01,3934
2026-02-01,3162
2026-03-01,4286
2026-04-01,4676
2026-05-01,5010
2026-06-01,4874
2026-07-01,4633
2026-08-01,1659
2026-09-01,5951
